family,kind,scenario,category_id,numeric_pass,baseline_pass,frozen_review_followup
core,score_component_ablation,without_volume,N0038,True,True,False
core,score_component_ablation,without_volume,N0070,True,True,False
core,score_component_ablation,without_volume,N0166,True,True,False
core,score_component_ablation,without_volume,N0172,True,True,True
core,score_component_ablation,without_volume,N0269,True,True,False
core,score_component_ablation,without_volume,N0315,True,True,False
core,score_component_ablation,without_volume,N0474,True,True,True
core,score_component_ablation,without_volume,N0493,True,True,False
core,score_component_ablation,without_citation,N0038,True,True,False
core,score_component_ablation,without_citation,N0070,True,True,False
core,score_component_ablation,without_citation,N0166,True,True,False
core,score_component_ablation,without_citation,N0172,True,True,True
core,score_component_ablation,without_citation,N0269,True,True,False
core,score_component_ablation,without_citation,N0315,True,True,False
core,score_component_ablation,without_citation,N0474,True,True,True
core,score_component_ablation,without_citation,N0493,True,True,False
core,score_component_ablation,without_institutions,N0038,True,True,False
core,score_component_ablation,without_institutions,N0070,True,True,False
core,score_component_ablation,without_institutions,N0166,True,True,False
core,score_component_ablation,without_institutions,N0172,True,True,True
core,score_component_ablation,without_institutions,N0269,True,True,False
core,score_component_ablation,without_institutions,N0315,True,True,False
core,score_component_ablation,without_institutions,N0474,True,True,True
core,score_component_ablation,without_institutions,N0493,True,True,False
core,score_component_ablation,without_persistence,N0038,True,True,False
core,score_component_ablation,without_persistence,N0070,True,True,False
core,score_component_ablation,without_persistence,N0166,True,True,False
core,score_component_ablation,without_persistence,N0172,True,True,True
core,score_component_ablation,without_persistence,N0269,True,True,False
core,score_component_ablation,without_persistence,N0315,True,True,False
core,score_component_ablation,without_persistence,N0474,True,True,True
core,score_component_ablation,without_persistence,N0493,True,True,False
core,score_component_ablation,without_current,N0038,True,True,False
core,score_component_ablation,without_current,N0070,True,True,False
core,score_component_ablation,without_current,N0166,True,True,False
core,score_component_ablation,without_current,N0172,True,True,True
core,score_component_ablation,without_current,N0269,True,True,False
core,score_component_ablation,without_current,N0315,True,True,False
core,score_component_ablation,without_current,N0474,True,True,True
core,score_component_ablation,without_current,N0493,True,True,False
core,gate_ablation,without_annual_volume,N0007,True,False,False
core,gate_ablation,without_annual_volume,N0019,True,False,False
core,gate_ablation,without_annual_volume,N0033,True,False,False
core,gate_ablation,without_annual_volume,N0037,True,False,False
core,gate_ablation,without_annual_volume,N0038,True,True,False
core,gate_ablation,without_annual_volume,N0070,True,True,False
core,gate_ablation,without_annual_volume,N0102,True,False,False
core,gate_ablation,without_annual_volume,N0147,True,False,False
core,gate_ablation,without_annual_volume,N0166,True,True,False
core,gate_ablation,without_annual_volume,N0172,True,True,True
core,gate_ablation,without_annual_volume,N0191,True,False,False
core,gate_ablation,without_annual_volume,N0195,True,False,False
core,gate_ablation,without_annual_volume,N0228,True,False,False
core,gate_ablation,without_annual_volume,N0243,True,False,False
core,gate_ablation,without_annual_volume,N0244,True,False,False
core,gate_ablation,without_annual_volume,N0269,True,True,False
core,gate_ablation,without_annual_volume,N0315,True,True,False
core,gate_ablation,without_annual_volume,N0320,True,False,False
core,gate_ablation,without_annual_volume,N0468,True,False,False
core,gate_ablation,without_annual_volume,N0469,True,False,False
core,gate_ablation,without_annual_volume,N0473,True,False,False
core,gate_ablation,without_annual_volume,N0474,True,True,True
core,gate_ablation,without_annual_volume,N0493,True,True,False
core,gate_ablation,without_active_years,N0038,True,True,False
core,gate_ablation,without_active_years,N0070,True,True,False
core,gate_ablation,without_active_years,N0166,True,True,False
core,gate_ablation,without_active_years,N0172,True,True,True
core,gate_ablation,without_active_years,N0193,True,False,False
core,gate_ablation,without_active_years,N0269,True,True,False
core,gate_ablation,without_active_years,N0315,True,True,False
core,gate_ablation,without_active_years,N0474,True,True,True
core,gate_ablation,without_active_years,N0493,True,True,False
core,gate_ablation,without_persistence,N0038,True,True,False
core,gate_ablation,without_persistence,N0070,True,True,False
core,gate_ablation,without_persistence,N0166,True,True,False
core,gate_ablation,without_persistence,N0172,True,True,True
core,gate_ablation,without_persistence,N0269,True,True,False
core,gate_ablation,without_persistence,N0315,True,True,False
core,gate_ablation,without_persistence,N0474,True,True,True
core,gate_ablation,without_persistence,N0493,True,True,False
core,gate_ablation,without_current_volume,N0038,True,True,False
core,gate_ablation,without_current_volume,N0070,True,True,False
core,gate_ablation,without_current_volume,N0166,True,True,False
core,gate_ablation,without_current_volume,N0172,True,True,True
core,gate_ablation,without_current_volume,N0269,True,True,False
core,gate_ablation,without_current_volume,N0315,True,True,False
core,gate_ablation,without_current_volume,N0474,True,True,True
core,gate_ablation,without_current_volume,N0493,True,True,False
core,gate_ablation,without_current_share,N0021,True,False,False
core,gate_ablation,without_current_share,N0038,True,True,False
core,gate_ablation,without_current_share,N0070,True,True,False
core,gate_ablation,without_current_share,N0166,True,True,False
core,gate_ablation,without_current_share,N0172,True,True,True
core,gate_ablation,without_current_share,N0269,True,True,False
core,gate_ablation,without_current_share,N0292,True,False,False
core,gate_ablation,without_current_share,N0315,True,True,False
core,gate_ablation,without_current_share,N0331,True,False,False
core,gate_ablation,without_current_share,N0474,True,True,True
core,gate_ablation,without_current_share,N0484,True,False,False
core,gate_ablation,without_current_share,N0493,True,True,False
core,semantic_review_ablation,numeric_only_no_scope_review,N0038,True,True,False
core,semantic_review_ablation,numeric_only_no_scope_review,N0070,True,True,False
core,semantic_review_ablation,numeric_only_no_scope_review,N0166,True,True,False
core,semantic_review_ablation,numeric_only_no_scope_review,N0172,True,True,True
core,semantic_review_ablation,numeric_only_no_scope_review,N0269,True,True,False
core,semantic_review_ablation,numeric_only_no_scope_review,N0315,True,True,False
core,semantic_review_ablation,numeric_only_no_scope_review,N0474,True,True,True
core,semantic_review_ablation,numeric_only_no_scope_review,N0493,True,True,False
core,data_robustness,require_all_data_filters_or_direction,N0038,False,True,False
core,data_robustness,require_all_data_filters_or_direction,N0070,False,True,False
core,data_robustness,require_all_data_filters_or_direction,N0166,False,True,False
core,data_robustness,require_all_data_filters_or_direction,N0172,False,True,True
core,data_robustness,require_all_data_filters_or_direction,N0269,False,True,False
core,data_robustness,require_all_data_filters_or_direction,N0315,False,True,False
core,data_robustness,require_all_data_filters_or_direction,N0474,False,True,True
core,data_robustness,require_all_data_filters_or_direction,N0493,False,True,False
emerging,score_component_ablation,without_multiyear_growth,N0087,True,True,False
emerging,score_component_ablation,without_multiyear_growth,N0138,True,True,False
emerging,score_component_ablation,without_multiyear_growth,N0155,True,True,True
emerging,score_component_ablation,without_multiyear_growth,N0160,True,True,False
emerging,score_component_ablation,without_multiyear_growth,N0166,True,True,False
emerging,score_component_ablation,without_multiyear_growth,N0186,True,True,False
emerging,score_component_ablation,without_multiyear_growth,N0193,True,True,False
emerging,score_component_ablation,without_multiyear_growth,N0195,True,True,True
emerging,score_component_ablation,without_multiyear_growth,N0254,True,True,True
emerging,score_component_ablation,without_multiyear_growth,N0265,True,True,False
emerging,score_component_ablation,without_multiyear_growth,N0293,True,True,False
emerging,score_component_ablation,without_multiyear_growth,N0332,True,True,False
emerging,score_component_ablation,without_multiyear_growth,N0337,True,True,True
emerging,score_component_ablation,without_multiyear_growth,N0339,True,True,False
emerging,score_component_ablation,without_multiyear_growth,N0343,True,True,False
emerging,score_component_ablation,without_multiyear_growth,N0358,True,True,False
emerging,score_component_ablation,without_multiyear_growth,N0369,True,True,False
emerging,score_component_ablation,without_multiyear_growth,N0381,True,True,False
emerging,score_component_ablation,without_multiyear_growth,N0388,True,True,True
emerging,score_component_ablation,without_multiyear_growth,N0395,True,True,True
emerging,score_component_ablation,without_multiyear_growth,N0408,True,True,False
emerging,score_component_ablation,without_multiyear_growth,N0409,True,True,True
emerging,score_component_ablation,without_multiyear_growth,N0432,True,True,False
emerging,score_component_ablation,without_multiyear_growth,N0443,True,True,False
emerging,score_component_ablation,without_multiyear_growth,N0446,True,True,False
emerging,score_component_ablation,without_multiyear_growth,N0458,True,True,False
emerging,score_component_ablation,without_multiyear_growth,N0470,True,True,True
emerging,score_component_ablation,without_multiyear_growth,N0473,True,True,False
emerging,score_component_ablation,without_multiyear_growth,N0493,True,True,False
emerging,score_component_ablation,without_recent_growth,N0087,True,True,False
emerging,score_component_ablation,without_recent_growth,N0138,True,True,False
emerging,score_component_ablation,without_recent_growth,N0155,True,True,True
emerging,score_component_ablation,without_recent_growth,N0160,True,True,False
emerging,score_component_ablation,without_recent_growth,N0166,True,True,False
emerging,score_component_ablation,without_recent_growth,N0186,True,True,False
emerging,score_component_ablation,without_recent_growth,N0193,True,True,False
