family,category_id,name,old_selected,new_selected,change,old_score,new_score,note
core,C0009,二氧化碳电还原催化,True,False,退出,97.62724789156348,98.28197226502311,方法及分数定义变化，分差不可直接解释为趋势强弱变化
core,C0060,超级电容器电极与器件,True,True,保留,98.19319296853465,98.9060092449923,方法及分数定义变化，分差不可直接解释为趋势强弱变化
core,C0067,钙钛矿太阳能电池界面与器件性能,True,True,保留,96.48019781421414,97.48073959938368,方法及分数定义变化，分差不可直接解释为趋势强弱变化
core,C0122,热电材料与热电性能优化,True,True,保留,91.4245696366869,92.6964560862866,方法及分数定义变化，分差不可直接解释为趋势强弱变化
core,C0155,电解水析氧催化,True,True,保留,97.1847451809404,98.21263482280432,方法及分数定义变化，分差不可直接解释为趋势强弱变化
core,C0169,电池荷电状态健康状态与建模,True,True,保留,88.80699337050221,87.90446841294299,方法及分数定义变化，分差不可直接解释为趋势强弱变化
core,C0191,固态储氢材料与反应器,True,True,保留,94.29911848129188,93.18952234206472,方法及分数定义变化，分差不可直接解释为趋势强弱变化
core,C0221,锂金属沉积与含锂电极材料,True,False,退出,88.11680376825767,89.71494607087828,方法及分数定义变化，分差不可直接解释为趋势强弱变化
core,C0245,碳基超级电容器电极,False,True,新增,86.99108092251541,90.4160246533128,方法及分数定义变化，分差不可直接解释为趋势强弱变化
core,C0251,充电站选址与充电调度,True,True,保留,87.60326957973248,87.52696456086288,方法及分数定义变化，分差不可直接解释为趋势强弱变化
core,C0254,电催化析氢与界面调控,True,True,保留,96.80850215559376,97.46533127889062,方法及分数定义变化，分差不可直接解释为趋势强弱变化
core,C0276,锂离子电池负极材料,True,False,退出,92.1839008223765,93.9753466872111,方法及分数定义变化，分差不可直接解释为趋势强弱变化
core,C0278,整体电催化水分解,True,True,保留,96.34857669308144,97.20338983050848,方法及分数定义变化，分差不可直接解释为趋势强弱变化
core,C0343,锂电池热行为与安全机制,True,False,退出,89.30804792460323,89.50693374422188,方法及分数定义变化，分差不可直接解释为趋势强弱变化
core,C0473,二氧化碳地质封存与驱油,True,True,保留,88.98525771956794,87.94298921417565,方法及分数定义变化，分差不可直接解释为趋势强弱变化
core,C0556,水系锌离子电池,True,True,保留,90.21376144299067,90.70878274268108,方法及分数定义变化，分差不可直接解释为趋势强弱变化
emerging,C0091,等离子体湍流与不稳定性,True,True,保留,87.59630200308166,87.36517719568566,方法及分数定义变化，分差不可直接解释为趋势强弱变化
emerging,C0098,建筑与工业冷却节能,True,True,保留,86.03428351309707,85.68181818181817,方法及分数定义变化，分差不可直接解释为趋势强弱变化
emerging,C0186,煤热解气化与煤质特性,True,True,保留,93.33590138674884,87.91987673343606,方法及分数定义变化，分差不可直接解释为趋势强弱变化
emerging,C0191,固态储氢材料与反应器,False,True,新增,74.36055469953774,81.14021571648689,方法及分数定义变化，分差不可直接解释为趋势强弱变化
emerging,C0210,地热资源开发与换热,True,True,保留,87.24191063174115,88.94453004622495,方法及分数定义变化，分差不可直接解释为趋势强弱变化
emerging,C0216,电力可靠性与电气安全,True,True,保留,83.66140215716487,83.93297380585516,方法及分数定义变化，分差不可直接解释为趋势强弱变化
emerging,C0246,虚拟电厂资源聚合与调度,True,True,保留,76.03235747303543,86.99537750385208,方法及分数定义变化，分差不可直接解释为趋势强弱变化
emerging,C0251,充电站选址与充电调度,False,True,新增,71.28659476117105,80.16178736517719,方法及分数定义变化，分差不可直接解释为趋势强弱变化
emerging,C0294,电池管理与均衡控制,True,True,保留,91.87981510015408,88.13559322033898,方法及分数定义变化，分差不可直接解释为趋势强弱变化
emerging,C0348,智能电网信息安全与韧性,True,True,保留,78.00462249614792,85.27734976887518,方法及分数定义变化，分差不可直接解释为趋势强弱变化
emerging,C0381,光伏发电功率预测方法与装置,True,True,保留,83.68258859784284,91.22496147919875,方法及分数定义变化，分差不可直接解释为趋势强弱变化
emerging,C0435,智能电表物联网与用能监测,True,True,保留,84.9075500770416,88.52080123266565,方法及分数定义变化，分差不可直接解释为趋势强弱变化
emerging,C0443,建筑能效与居民供热用能,True,True,保留,78.91371340523882,81.46379044684129,方法及分数定义变化，分差不可直接解释为趋势强弱变化
emerging,C0473,二氧化碳地质封存与驱油,False,True,新增,68.0835901386749,82.11479198767334,方法及分数定义变化，分差不可直接解释为趋势强弱变化
emerging,C0533,氮化镓功率与结器件,True,True,保留,89.59938366718028,91.92604006163327,方法及分数定义变化，分差不可直接解释为趋势强弱变化
emerging,C0534,氢能技术经济与生命周期,False,True,新增,61.2268875192604,82.268875192604,方法及分数定义变化，分差不可直接解释为趋势强弱变化
emerging,C0542,光伏组件故障与缺陷检测,True,True,保留,82.4884437596302,87.98921417565485,方法及分数定义变化，分差不可直接解释为趋势强弱变化
emerging,C0566,蒸汽重整制氢与合成气,False,True,新增,95.51617873651772,88.09707241910631,方法及分数定义变化，分差不可直接解释为趋势强弱变化
emerging,C0600,直接空气捕碳,True,True,保留,87.64252696456086,87.75808936825885,方法及分数定义变化，分差不可直接解释为趋势强弱变化
emerging,C0665,换热器结构与传热强化,True,True,保留,78.923343605547,84.93451463790446,方法及分数定义变化，分差不可直接解释为趋势强弱变化
emerging,C0713,电价预测,True,True,保留,80.35631741140216,88.27812018489983,方法及分数定义变化，分差不可直接解释为趋势强弱变化
emerging,C0725,废塑料回收与转化,False,True,新增,80.79545454545456,80.04237288135593,方法及分数定义变化，分差不可直接解释为趋势强弱变化
