unit_id,row_id,applicant_names
U0246,4876114,东南大学; 国网电力科学研究院有限公司
U0246,4876296,广州粤信科技有限公司
U0246,4876741,清华大学
U0246,4876879,兖矿售电有限公司; 山东华聚能源股份有限公司
U0246,4877158,山东云是能源科技有限公司
U0246,4877200,南京中汇电气科技有限公司
U0246,4877237,南京工业大学
U0246,4877371,国家电网有限公司华东分部
U0246,4877602,国网湖北省电力有限公司营销服务中心(计量中心)
U0246,4877969,广东比奔新能源有限公司
U0246,4878020,日照港集装箱发展有限公司动力分公司
U0246,4878191,广州中科智巡科技有限公司
U0246,4878202,上海交通大学; 国网上海市电力公司
U0246,4878351,滨州新能碳排放管理有限公司
U0246,4878449,南京南瑞继保工程技术有限公司; 常州博瑞电力自动化设备有限公司; 南京南瑞继保电气有限公司
U0246,4878602,国能(陕西)能源销售有限公司
U0246,4878873,广东工业大学
U0246,4878900,广东永光聚合商科技有限公司; 广东永光新能源科技有限公司
U0246,4879414,广州汇能电力科技有限公司
U0246,4880215,铁塔能源有限公司山东分公司
U0246,4880216,铁塔能源有限公司山东分公司
U0246,4880248,武汉易晨创想科技有限公司
U0246,4880312,苏州通合智慧能源有限公司
U0246,4880331,山东大学
U0246,4880440,湖北华辰九州能源有限公司
U0246,4880897,南京师范大学
U0246,4880906,集睿思检测技术服务(珠海)有限公司
U0246,4880907,艺唯科技股份有限公司
U0246,4881163,湖州南浔新晟光伏科技有限公司
U0246,4881173,东北电力大学
U0246,4881537,江苏聚腾新能源科技有限公司
U0246,4881569,浙江卓阳能源集团有限公司
U0246,4881767,南京南自华盾数字技术有限公司
U0246,4881994,徐州市虚拟电厂科技有限公司; 铜山华润电力有限公司; 江苏彭城投资管理有限公司
U0246,4882195,南方电网综合能源股份有限公司
U0246,4882288,广东凡特科技有限公司
U0246,4882353,广东南泰能源科技有限公司
U0246,4883460,上海联元智能科技有限公司
U0246,4883487,深圳永泰数能科技有限公司
U0246,4883514,广东永光聚合商科技有限公司; 广东永光新能源科技有限公司
U0246,4883788,山东国电投能源营销有限公司; 国家电投集团山东能源发展有限公司
U0246,4883805,山东国电投能源营销有限公司; 国家电投集团山东能源发展有限公司
U0246,4883907,华能格尔木光伏发电有限公司
U0246,4884023,浙江八达电子仪表有限公司
U0246,4884189,国网上海能源互联网研究院有限公司
U0246,4884464,上海交通大学
U0246,4884672,国网山东综合能源服务有限公司; 山东腾翼电力科技有限公司
U0246,4884749,上海联元智能科技有限公司
U0246,4884766,中国长江三峡集团有限公司
U0246,4884792,国网浙江省电力有限公司营销服务中心; 中国电力科学研究院有限公司; 国网浙江省电力有限公司
U0246,4885052,新疆倚莱克特电力科技有限公司
U0246,4885053,新疆倚莱克特电力科技有限公司
U0246,4885110,中国能源建设集团江苏省电力设计院有限公司
U0246,4885602,北京化工大学
U0246,4885774,云南电网有限责任公司
U0246,4885943,中国长江三峡集团有限公司
U0246,4886048,齐鲁工业大学(山东省科学院); 山东省计算中心(国家超级计算济南中心)
U0246,4886080,云南电网有限责任公司
U0246,4886756,贵州电网有限责任公司
U0246,4886919,国网经济技术研究院有限公司; 国网浙江省电力有限公司衢州供电公司
U0246,4887133,内蒙古科技大学; 内蒙古北方稀土新材料技术创新有限公司
U0246,4887436,中国长江三峡集团有限公司
U0246,4887514,内蒙古国龙能源管理有限责任公司
U0246,4887628,国电投(四川)能源服务有限公司
U0246,4887670,新疆远效科技创新有限公司
U0246,4887689,国电南瑞科技股份有限公司
U0246,4887994,南方电网科学研究院有限责任公司
U0246,4888087,南京邮电大学
U0246,4888294,国网电力科学研究院武汉能效测评有限公司; 国网电力科学研究院有限公司; 国网上海市电力公司; 国家电网有限公司
U0246,4888368,南方电网调峰调频(广东)储能科技有限公司
U0246,4888369,南方电网调峰调频(广东)储能科技有限公司
U0246,4888372,南方电网调峰调频(广东)储能科技有限公司
U0246,4888532,合肥原力众合能源科技有限公司
U0246,4888577,北京京能数字科技有限公司
U0246,4888889,国网山东省电力公司济南供电公司; 华北电力大学(保定)
U0246,4889277,广东工业大学
U0246,4889357,国电南瑞科技股份有限公司
U0246,4890147,国网山东省电力公司济南供电公司; 华北电力大学(保定)
U0246,4890410,国网四川省电力公司成都供电公司
U0246,4890441,南方电网调峰调频(广东)储能科技有限公司
U0246,4890444,国网浙江省电力有限公司电力科学研究院
U0246,4890559,深圳供电局有限公司
U0246,4890566,深圳供电局有限公司
U0246,4890610,国网山东省电力公司金乡县供电公司; 国网山东省电力公司济宁供电公司
U0246,4890870,慧电科技(苏州)有限公司; 固德威技术股份有限公司
U0246,4931215,湖南大唐先一科技有限公司
U0246,4931263,国网青海省电力公司电力科学研究院; 国网青海省电力公司
U0246,4931316,国网冀北电力有限公司计量中心; 国网冀北电力有限公司
U0246,4931335,国网冀北电力有限公司计量中心; 国网冀北电力有限公司
U0246,4931376,上海永天科技股份有限公司
U0246,4931486,西南石油大学
U0246,4931588,国网上海市电力公司
U0246,4931631,北京中电飞华通信有限公司
U0246,4932394,东方电子股份有限公司
U0246,4932498,拓深数字(杭州)能源科技有限公司
U0246,4932563,南京研精致思智能科技有限公司
U0246,4932788,国网江苏省电力有限公司常州供电分公司; 国网江苏省电力有限公司
U0246,4932868,国网福建省电力有限公司; 国网福建省电力有限公司泉州供电公司
U0246,4932894,国网上海市电力公司
U0246,4932974,国网山东省电力公司营销服务中心(计量中心); 山东大学
U0246,4933718,国网辽宁省电力有限公司经济技术研究院
U0246,4933773,绿色湾区(广东)能源服务有限公司
U0246,4934019,国网信息通信产业集团有限公司; 四川中电启明星信息技术有限公司
U0246,4934021,国网信息通信产业集团有限公司; 四川中电启明星信息技术有限公司
U0246,4934575,拓深数字(杭州)能源科技有限公司
U0246,4934749,国网青海省电力公司营销服务中心; 国网青海省电力公司
U0246,4934808,北京如实智慧电力科技有限公司
U0246,4935232,国网辽宁省电力有限公司鞍山供电公司; 北京科技大学
U0246,4935293,国网辽宁省电力有限公司鞍山供电公司; 北京科技大学
U0246,4935308,贵州电网有限责任公司
U0246,4935315,国网辽宁省电力有限公司鞍山供电公司; 北京科技大学
